Сервис,Имя,Тип снега,Условия,Температура,Похожие
Madshus,M62,,Тепло,+10 °C … –2 °C,
Madshus,M63,wet,Тепло,+10 °C … 0 °C,
Madshus,M61B,"all, universal, wet",Мокрый,+3 °C … –3 °C,SV100
Madshus,M61,"fresh, universal, transformed",Умеренный холод,–1 °C … –6 °C,
Madshus,M61F,"dry, frozen, new, transformed",Холод,–3 °C … –20 °C,"G1, B227"
Madshus,M61F2,"dry, frozen",Холод,–6 °C … –25 °C,"G1, B227"
Rossignol,A15,wet,Мокрый,+3 °C … –5 °C,
Rossignol,A34,"all, wet",Мокрый,+3 °C … –5 °C,
Rossignol,RW692,wet,Мокрый,+3 °C … –5 °C,
Rossignol,RW1,wet,Мокрый,+3 °C … –5 °C,
Rossignol,A11,wet,Мокрый,+3 °C … –5 °C,
Rossignol,A30,wet,Мокрый,+3 °C … –5 °C,
Rossignol,RW691,wet,Мокрый,+3 °C … –5 °C,
Rossignol,A36,wet,Мокрый,+3 °C … –5 °C,
Rossignol,RUW1,"wet, all",Умеренный холод,+2 °C … –7 °C,
Rossignol,RU12,all,Умеренный холод,0 °C … –10 °C,
Rossignol,RU15,all,Умеренный холод,0 °C … –10 °C,
Rossignol,RU18,all,Умеренный холод,0 °C … –15 °C,
Rossignol,A6,all,Умеренный холод,0 °C … –10 °C,
Rossignol,A6blue,all,Умеренный холод,0 °C … –10 °C,
Rossignol,FF3,"natural, fresh",Умеренный холод,–5 °C … –10 °C,
Rossignol,RC5,all,Холод,–5 °C … –25 °C,
Rossignol,A6green,all,Холод,–5 °C … –25 °C,
Rossignol,A1,all,Холод,–5 °C … –25 °C,
Rossignol,FF3b,"frozen, dry",Холод,–10 °C … –20 °C,
Fischer 2026,F-359,"wet, fine_grained",Тепло,+5 °C … 0 °C,TZ1-2
Fischer 2026,F-372,"coarse, wet",Переходка,+5 °C … 0 °C,P11-2
Fischer 2026,F-390,"wet, classic",Тепло,+5 °C … 0 °C,P9-2
Fischer 2026,F-311,"coarse, frozen, transformed",Переходка,+5 °C … –5 °C,P11-1
Fischer 2026,F-275,all,Умеренный холод,+5 °C … –10 °C,P5-1
Fischer 2026,F-395,"wet, rain",Тепло,+5 °C … 0 °C,P14-1
Fischer 2026,F-205,fresh,Тепло,+3 °C … –5 °C,P1-1
Fischer 2026,F-230,all,Умеренный холод,+2 °C … –7 °C,P5-0
Fischer 2026,F-256,"artificial, fine_grained",Тепло,+2 °C … –5 °C,P22-6
Fischer 2026,F-211,fine_grained,Умеренный холод,+1 °C … –8 °C,P2-1
Fischer 2026,F-226,"transformed, wet, fresh",Умеренный холод,0 °C … –7 °C,"S12-6, P10-3"
Fischer 2026,F-201,fine_grained,Умеренный холод,0 °C … –10 °C,P10-1
Fischer 2026,F-198,all,Умеренный холод,0 °C … –10 °C,TZ1-1
Fischer 2026,F-138,all,Умеренный холод,–5 °C … –15 °C,C8-1
Fischer 2026,F-110,"fresh, fine_grained",Умеренный холод,–5 °C … –13 °C,C3-1
Fischer 2026,F-171,artificial,Умеренный холод,–7 °C … –30 °C,C12-1
Fischer 2026,F-115,all,Умеренный холод,–10 °C … –30 °C,C1-1
Skipole,X20,"all, fresh, old",Умеренный холод,+15 °C … –5 °C,
Skipole,W30,"wet, rain",Тепло,+10 °C … 0 °C,
Skipole,W28,all,Тепло,+3 °C … –3 °C,"SV100, F1"
Skipole,X25,all,Тепло,0 °C … –8 °C,"S12-6, B2211, SV100"
Skipole,X0,"frozen, dry, natural",Холод,–12 °C … –25 °C,
Ramsau,S13-6,wet,Тепло,+10 °C … 0 °C,"F1, M63"
Ramsau,T1,"old, wet, dirty",Грязный,+5 °C … 0 °C,"S13-5, B3312"
Ramsau,OH3,"transformed, fine_grained, icy",Старый,+5 °C … –7 °C,"S13-5, B3312"
Ramsau,S13-5,"fresh, falling, wet",Мокрый,+5 °C … 0 °C,"F1, M63"
Ramsau,S13-4,"wet, natural, artificial",Тепло,+5 °C … –5 °C,"P5-1, S13-5"
Ramsau,S13-5-08,"wet, fine_grained, fresh",Тепло,+3 °C … –3 °C,"S13-5, C12-7"
Ramsau,S12-6,"fresh, falling, wet",Умеренный холод,0 °C … –15 °C,
Ramsau,S12-1,"fresh, natural, artificial",Старый,0 °C … –15 °C,"S12-2, S12-7"
Ramsau,S12-12,old,Старый,0 °C … –5 °C,P3-2
Ramsau,PL2,"all, fresh, transformed",Умеренный холод,0 °C … –10 °C,"S12-16, B2211"
Ramsau,S12-2-07,fresh,Умеренный холод,0 °C … –10 °C,"S12-2, S12-3"
Ramsau,S12-2,"fresh, wet",Мокрый,0 °C … –5 °C,"S12-6, P10-3"
Ramsau,S12-16,fresh,Умеренный холод,0 °C … –10 °C,B2211
Ramsau,S12-14,"frozen, fresh",Умеренный холод,–2 °C … –10 °C,"S12-4, S12-16"
Ramsau,S12-7,artificial,Старый,–2 °C … –12 °C,"C8-1, S11-3"
Ramsau,S12-3,fresh,Умеренный холод,–2 °C … –6 °C,"S12-2, S12-4"
